434 	4170 	396 	2430 	0 	633 	595 	349 
400 	4000 	5000 	0 	0 	101 	2817 	665 
200 	3700 	9700 	300 	0 	168 	9048 	195 
150 	1600 	19 	300 	56 	1054 	315 	806 
48 	310 	0 	5 	95 	874 	90 	252 
513 	4080 	2695 	2205 	0 	317 	4651 	230 
1584 	12650 	6598 	1628 	887 	465 	7847 	716 
574 	400 	2249 	395 	330 	219 	2669 	260 
508 	1860 	2756 	650 	394 	230 	3145 	269 
968 	900 	4641 	955 	548 	304 	5085 	389 
306 	230 	1660 	544 	255 	211 	2075 	190 
196 	450 	968 	164 	110 	220 	1059 	219 
1112 	15990 	4781 	1261 	605 	457 	5749 	734 
244 	950 	1526 	258 	163 	190 	1694 	172 
484 	500 	2534 	563 	319 	228 	2795 	252 
528 	860 	2365 	424 	322 	248 	2780 	385 
274 	330 	1745 	381 	218 	225 	2023 	225 
1212 	13950 	4679 	1058 	611 	366 	5386 	563 
230 	970 	1248 	211 	151 	213 	1389 	212 
734 	9980 	3891 	783 	435 	357 	4409 	491 
1174 	690 	4856 	1019 	634 	337 	5617 	542 
158 	7020 	188 	120 	0 	468 	120 	320 
428 	10130 	887 	213 	83 	541 	566 	861 
218 	4160 	422 	211 	70 	315 	580 	222 
27 	540 	8 	198 	0 	421 	152 	100 
23 	590 	10 	238 	0 	489 	187 	133 
18 	540 	7 	179 	0 	415 	143 	100 
65 	1060 	811 	255 	0 	158 	897 	163 
22 	620 	11 	220 	0 	482 	172 	126 
100 	1330 	856 	426 	0 	258 	1047 	230 
14 	270 	5 	104 	0 	382 	82 	89 
1286 	7610 	17131 	34 	69 	485 	16078 	1833 
70 	750 	1212 	82 	0 	140 	1044 	52 
92 	1500 	336 	357 	7 	273 	550 	160 
612 	16500 	179 	581 	469 	1658 	600 	1885 
112 	2460 	589 	512 	11 	298 	874 	200 
80 	1400 	319 	326 	7 	288 	512 	156 
140 	3300 	763 	611 	14 	294 	1091 	206 
232 	3010 	985 	836 	37 	348 	1275 	307 
240 	1520 	3000 	0 	0 	332 	2125 	240 
64 	500 	667 	152 	0 	210 	570 	195 
1164 	4200 	20000 	0 	0 	255 	12746 	635 
48 	720 	6 	120 	24 	431 	106 	80 
160 	2020 	3 	316 	48 	1312 	295 	710 
50 	110 	270 	0 	0 	103 	176 	40 
80 	700 	2641 	139 	0 	92 	2748 	100 
250 	1500 	5225 	220 	55 	110 	5448 	200 
182 	1810 	2500 	630 	0 	304 	3112 	345 
158 	2600 	1954 	353 	47 	270 	2090 	215 
342 	3200 	164 	432 	0 	444 	336 	800 
822 	8870 	2489 	0 	0 	263 	44 	517 
114 	1070 	0 	156 	7 	885 	147 	206 
336 	2290 	0 	703 	37 	1424 	691 	731 
214 	1530 	0 	476 	25 	10012 	468 	247 
114 	1110 	0 	237 	12 	972 	228 	244 
314 	1510 	0 	490 	26 	1133 	482 	290 
118 	1080 	0 	319 	17 	923 	313 	168 
